6B | 031 | CD11c,14101.0,37273.0,1
6B | 031 | CD3,14101.0,37273.0,1
6B | 031 | CD20,14101.0,37273.0,1
6B | 032 | CD11c,21888.0,32371.0,2
6B | 032 | CD3,21888.0,32371.0,2
6B | 032 | CD20,21888.0,32371.0,2
6B | 033 | CD11c,16887.0,39225.0,1
6B | 033 | CD3,16887.0,39225.0,1
6B | 033 | CD20,16887.0,39225.0,1
019383T4(1) | 001 | Full ROI,11620.0,23108.0,0
019383T4(1) | 002 | Full ROI,11727.0,23197.0,0
019383T4(1) | 003 | Full ROI,12160.0,22805.0,0
019383T4(1) | 004 | Full ROI,8646.0,16452.0,1
019383T4(1) | 005 | Full ROI,8454.0,17050.0,1
019383T4(1) | 006 | Full ROI,9320.0,17041.0,1
019383T4(1) | 007 | Full ROI,18085.0,25647.0,3
019383T4(1) | 008 | Full ROI,17906.0,25903.0,3
019383T4(1) | 009 | Full ROI,18134.0,25080.0,3
019383T4(1) | 010 | Full ROI,25359.0,19854.0,3
019383T4(1) | 011 | Full ROI,25588.0,20213.0,3
019383T4(1) | 012 | Full ROI,24799.0,19680.0,3
019383T4(1) | 013 | Full ROI,24895.0,16344.0,3
019383T4(1) | 014 | Full ROI,25038.0,16163.0,3
019383T4(1) | 015 | Full ROI,24421.0,16562.0,3
019383T4(1) | 016 | Full ROI,13248.0,7778.0,0
019383T4(1) | 017 | Full ROI,13357.0,7637.0,0
019383T4(1) | 018 | Full ROI,12781.0,7862.0,0
019383T4(1) | 019 | Full ROI,11426.0,16197.0,0
019383T4(1) | 020 | Full ROI,18948.0,19507.0,4
019383T4(1) | 021 | Full ROI,20674.0,18755.0,4
019383T4(1) | 022 | Full ROI,21391.0,17996.0,4
019383T4(1) | 024 | Full ROI,8437.0,10569.0,4
019383T4(1) | 025 | Full ROI,12688.0,21768.0,0
019383T4(1) | 026 | Full ROI,21874.0,16821.0,0
019383T4(1) | 027 | Full ROI,22399.0,12516.0,0
019383T4(1) | 028 | Full ROI,15171.0,7548.0,0
019383T4(1) | 029 | Full ROI,6067.0,14888.0,0
019383T4(1) | 030 | Full ROI,17101.0,14294.0,4
019383T4(1) | 031 | Full ROI,6355.0,13369.0,0
019383T4(1) | 032 | Full ROI,6059.0,10446.0,0
019383T4(1) | 033 | Full ROI,14623.0,23297.0,0
019383T4(1) | 034 | CD3+,12368.041015625,12255.986328125,4
019383T4(1) | 034 | CD20+,12368.041015625,12255.986328125,4
019383T4(1) | 034 | SMA+,12368.041015625,12255.986328125,4
019383T4(1) | 035 | CD3+,8452.26171875,13139.4248046875,0
019383T4(1) | 035 | CD20+,8452.26171875,13139.4248046875,0
019383T4(1) | 035 | SMA+,8452.26171875,13139.4248046875,0
019383T4(1) | 036 | CD3+,15905.208984375,15997.8974609375,4
019383T4(1) | 036 | CD20+,15905.208984375,15997.8974609375,4
019383T4(1) | 036 | SMA+,15905.208984375,15997.8974609375,4
019383T4(1) | 037 | CD3+,14785.7880859375,12955.7744140625,4
019383T4(1) | 037 | CD20+,14785.7880859375,12955.7744140625,4
019383T4(1) | 037 | SMA+,14785.7880859375,12955.7744140625,4
25337T4(2) | 001 | Full ROI,8589.0,33872.0,2
25337T4(2) | 002 | Full ROI,8587.0,33708.0,2
25337T4(2) | 003 | Full ROI,8849.0,33368.0,2
25337T4(2) | 004 | Full ROI,8348.0,17323.0,1
25337T4(2) | 005 | Full ROI,8178.0,17130.0,1
25337T4(2) | 006 | Full ROI,8580.0,17416.0,1
25337T4(2) | 007 | Full ROI,26671.0,24414.0,2
25337T4(2) | 008 | Full ROI,26918.0,24667.0,2
25337T4(2) | 009 | Full ROI,26017.0,23051.0,3
25337T4(2) | 010 | Full ROI,12309.0,16107.0,0
25337T4(2) | 011 | Full ROI,12279.0,15886.0,0
25337T4(2) | 012 | Full ROI,12365.0,16306.0,0
25337T4(2) | 013 | Full ROI,41091.0,9309.0,1
25337T4(2) | 014 | Full ROI,41080.0,9092.0,1
25337T4(2) | 015 | Full ROI,41206.0,9584.0,1
25337T4(2) | 016 | Full ROI,8028.0,31159.0,2
25337T4(2) | 017 | Full ROI,8078.0,31454.0,2
25337T4(2) | 018 | Full ROI,8369.0,31528.0,2
25337T4(2) | 019 | Full ROI,9001.0,24797.0,0
25337T4(2) | 020 | Full ROI,10355.0,26334.0,0
25337T4(2) | 021 | Full ROI,11387.0,27251.0,0
25337T4(2) | 022 | Full ROI,8055.0,23340.0,0
25337T4(2) | 023 | Full ROI,36886.0,18108.0,1
25337T4(2) | 024 | Full ROI,39336.0,20768.0,1
25337T4(2) | 025 | Full ROI,9064.0,21853.0,2
25337T4(2) | 026 | Full ROI,37161.0,9541.0,1
25337T4(2) | 027 | Full ROI,10327.0,29502.0,1
25337T4(2) | 028 | Full ROI,11527.0,21532.0,0
25337T4(2) | 029 | Full ROI,9431.0,18898.0,1
25337T4(2) | 030 | Full ROI,11223.0,31422.0,1
25337T4(2) | 031 | CD3+,12592.3134765625,23066.1015625,0
25337T4(2) | 031 | CD20+,12592.3134765625,23066.1015625,0
25337T4(2) | 031 | SMA+,12592.3134765625,23066.1015625,0
25337T4(2) | 032 | CD3+,17286.251953125,23365.931640625,3
25337T4(2) | 032 | CD20+,17286.251953125,23365.931640625,3
25337T4(2) | 032 | SMA+,17286.251953125,23365.931640625,3
25337T4(2) | 033 | CD3+,13284.8134765625,25386.62890625,0
25337T4(2) | 033 | SMA+,13284.8134765625,25386.62890625,0
25337T4(2) | 034 | CD3+,16341.681640625,25783.287109375,3
25337T4(2) | 034 | CD20+,16341.681640625,25783.287109375,3
25337T4(2) | 034 | SMA+,16341.681640625,25783.287109375,3
